ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	Eindtotaal[Session]	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	BarImage	BarTotalWinst	DoorChoice	Eindtotaal[Block]	FBDoor1	FBDoor2	FBDoor3	FBDoor4	Image1	Image2	Image3	Image4	Procedure	Running	spel.ACC	spel.CRESP	spel.DurationError	spel.OnsetDelay	spel.OnsetTime	spel.OnsetToOnsetTime	spel.RESP	spel.RT	spel.RTTime	TotalGain	TotalLose	Totalsum	TotalsumD1	TotalsumD2	TotalsumD3	TotalsumD4	TrialList	TrialList.Cycle	TrialList.Sample	varV1	varV2	varV3	varV4	varW1	varW2	varW3	varW4	Verliesbedrag	Winstbedrag
Hungry_Donkey_bar_English_2	111	2	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-07-12T15:01:20Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3507685</Frequency><Timestamp dt:dt="r8">1503009468286</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-07-12T15:01:20Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Hungry_Donkey_bar_English_2-111-2	60.017	-236	1.0.0.18	1	-228417876	Standard	2.0.10.353	2.0.10.353	07-12-2015	7/12/2015 3:01:21 PM	11:01:21	2.0.10.248	120	Bar37-63.bmp	41	1	?	10r_4g.bmp	0r_4g.bmp	2r_2g.bmp	0r_2g.bmp	10r_4g.bmp				TrialProc	TrialList	0	cvbn	-999999	16	362212	0	c	404	362616	366	-528	-162	-30	-208	40	36	3	12	120	-10	0	-2	0	4	4	2	2	-10	4
Hungry_Donkey_bar_English_2	111	2	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-07-12T15:01:20Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3507685</Frequency><Timestamp dt:dt="r8">1503009468286</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-07-12T15:01:20Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Hungry_Donkey_bar_English_2-111-2	60.017	-236	1.0.0.18	1	-228417876	Standard	2.0.10.353	2.0.10.353	07-12-2015	7/12/2015 3:01:21 PM	11:01:21	2.0.10.248	121	Bar37-63.bmp	39	2	?	8r_4g.bmp	50r_4g.bmp	1r_2g.bmp	10r_2g.bmp		50r_4g.bmp			TrialProc	TrialList	0	cvbn	-999999	16	364644	0	v	179	364823	370	-578	-208	-30	-254	40	36	1	13	121	-8	-50	-1	-10	4	4	2	2	-50	4
Hungry_Donkey_bar_English_2	111	2	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-07-12T15:01:20Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3507685</Frequency><Timestamp dt:dt="r8">1503009468286</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-07-12T15:01:20Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Hungry_Donkey_bar_English_2-111-2	60.017	-236	1.0.0.18	1	-228417876	Standard	2.0.10.353	2.0.10.353	07-12-2015	7/12/2015 3:01:21 PM	11:01:21	2.0.10.248	122	Bar37-63.bmp	39	3	?	0r_4g.bmp	0r_4g.bmp	0r_2g.bmp	0r_2g.bmp			0r_2g.bmp		TrialProc	TrialList	0	cvbn	-999999	16	366860	0	b	491	367351	372	-578	-206	-30	-254	42	36	6	13	122	0	0	0	0	4	4	2	2	0	2
Hungry_Donkey_bar_English_2	111	2	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-07-12T15:01:20Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3507685</Frequency><Timestamp dt:dt="r8">1503009468286</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-07-12T15:01:20Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Hungry_Donkey_bar_English_2-111-2	60.017	-236	1.0.0.18	1	-228417876	Standard	2.0.10.353	2.0.10.353	07-12-2015	7/12/2015 3:01:21 PM	11:01:21	2.0.10.248	123	Bar37-63.bmp	39	3	?	0r_4g.bmp	0r_4g.bmp	0r_2g.bmp	0r_2g.bmp			0r_2g.bmp		TrialProc	TrialList	0	cvbn	-999999	16	369376	0	b	311	369687	374	-578	-204	-30	-254	44	36	9	13	123	0	0	0	0	4	4	2	2	0	2
Hungry_Donkey_bar_English_2	111	2	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-07-12T15:01:20Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3507685</Frequency><Timestamp dt:dt="r8">1503009468286</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-07-12T15:01:20Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Hungry_Donkey_bar_English_2-111-2	60.017	-236	1.0.0.18	1	-228417876	Standard	2.0.10.353	2.0.10.353	07-12-2015	7/12/2015 3:01:21 PM	11:01:21	2.0.10.248	124	Bar37-63.bmp	39	3	?	10r_4g.bmp	0r_4g.bmp	2r_2g.bmp	0r_2g.bmp			2r_2g.bmp		TrialProc	TrialList	0	cvbn	-999999	16	371726	0	b	249	371975	376	-580	-204	-30	-254	44	36	4	13	124	-10	0	-2	0	4	4	2	2	-2	2
Hungry_Donkey_bar_English_2	111	2	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-07-12T15:01:20Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3507685</Frequency><Timestamp dt:dt="r8">1503009468286</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-07-12T15:01:20Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Hungry_Donkey_bar_English_2-111-2	60.017	-236	1.0.0.18	1	-228417876	Standard	2.0.10.353	2.0.10.353	07-12-2015	7/12/2015 3:01:21 PM	11:01:21	2.0.10.248	125	Bar37-63.bmp	39	4	?	0r_4g.bmp	0r_4g.bmp	0r_2g.bmp	0r_2g.bmp				0r_2g.bmp	TrialProc	TrialList	0	cvbn	-999999	16	374008	0	n	271	374279	378	-580	-202	-30	-254	44	38	8	13	125	0	0	0	0	4	4	2	2	0	2
Hungry_Donkey_bar_English_2	111	2	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-07-12T15:01:20Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3507685</Frequency><Timestamp dt:dt="r8">1503009468286</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-07-12T15:01:20Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Hungry_Donkey_bar_English_2-111-2	60.017	-236	1.0.0.18	1	-228417876	Standard	2.0.10.353	2.0.10.353	07-12-2015	7/12/2015 3:01:21 PM	11:01:21	2.0.10.248	126	Bar37-63.bmp	40	4	?	0r_4g.bmp	0r_4g.bmp	0r_2g.bmp	0r_2g.bmp				0r_2g.bmp	TrialProc	TrialList	0	cvbn	-999999	16	376308	0	n	547	376855	380	-580	-200	-30	-254	44	40	7	13	126	0	0	0	0	4	4	2	2	0	2
Hungry_Donkey_bar_English_2	111	2	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-07-12T15:01:20Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3507685</Frequency><Timestamp dt:dt="r8">1503009468286</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-07-12T15:01:20Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Hungry_Donkey_bar_English_2-111-2	60.017	-236	1.0.0.18	1	-228417876	Standard	2.0.10.353	2.0.10.353	07-12-2015	7/12/2015 3:01:21 PM	11:01:21	2.0.10.248	127	Bar37-63.bmp	40	4	?	10r_4g.bmp	0r_4g.bmp	2r_2g.bmp	0r_2g.bmp				0r_2g.bmp	TrialProc	TrialList	0	cvbn	-999999	16	378890	0	n	285	379175	382	-580	-198	-30	-254	44	42	2	13	127	-10	0	-2	0	4	4	2	2	0	2
Hungry_Donkey_bar_English_2	111	2	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-07-12T15:01:20Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3507685</Frequency><Timestamp dt:dt="r8">1503009468286</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-07-12T15:01:20Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Hungry_Donkey_bar_English_2-111-2	60.017	-236	1.0.0.18	1	-228417876	Standard	2.0.10.353	2.0.10.353	07-12-2015	7/12/2015 3:01:21 PM	11:01:21	2.0.10.248	128	Bar37-63.bmp	40	3	?	0r_4g.bmp	0r_4g.bmp	0r_2g.bmp	0r_2g.bmp			0r_2g.bmp		TrialProc	TrialList	0	cvbn	-999999	16	381206	0	b	305	381511	384	-580	-196	-30	-254	46	42	10	13	128	0	0	0	0	4	4	2	2	0	2
Hungry_Donkey_bar_English_2	111	2	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-07-12T15:01:20Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">3507685</Frequency><Timestamp dt:dt="r8">1503009468286</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-07-12T15:01:20Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Hungry_Donkey_bar_English_2-111-2	60.017	-236	1.0.0.18	1	-228417876	Standard	2.0.10.353	2.0.10.353	07-12-2015	7/12/2015 3:01:21 PM	11:01:21	2.0.10.248	129	Bar37-63.bmp	40	2	?	12r_4g.bmp	0r_4g.bmp	3r_2g.bmp	0r_2g.bmp		0r_4g.bmp			TrialProc	TrialList	0	cvbn	-999999	16	383539	0	v	227	383766	388	-580	-192	-30	-250	46	42	5	13	129	-12	0	-3	0	4	4	2	2	0	4
